Judul,Sub Judul,No. ISBN,Penulis,Jumlah Halaman,Berat Buku,Jenis Cover,Isi,Dimensi (L x P),Harga,Deskripsi,URL,Thumbnail URL
Aiko di Tokyo,STOCK KOSONG,979-9143-77-2,Audrey McKim,120 halaman,150 gram,soft cover,HVS 70,11x18 cm, Rp. 18.000,"Aiko tinggal di desa bersama ibunya dan kedua adik laki-lakinya, Toru dan Kimiko. Ayah mereka sudah meninggal.
Mereka terpaksa hidup sangat sederhana, karena mereka memang miskin.
Aiko diejek kawan-kawannya. Tiap hari. Dan ia sedih menghadapi penghinaan itu.
Suatu hari, Aiko dibawa pamannya ke Tokyo. Ia diajak tinggal dan bersekolah di sana, untuk menemani saudara sepupunya, Kenichi.
Bagaimana seterusnya? Dapatkah Aiko menyesuaikan diri? Bagaimana teman-temannya di Tokyo dan di desa?
Cerita ini mengharukan sekaligus mengasyikkan. Dan membaca cerita ini, kita akan jelas mengerti, apa itu kemiskinan.
Silakan menjawabnya dengan membaca buku ini.",http://www.penerbitbinakasih.com/202-buku-aiko-di-tokyo-.html,http://www.penerbitbinakasih.com/images/products/product_202.jpg
Berani Menembus Badai,Cerita klasik tentang pengampunan,979-8976-98-3,Patricia St. John,352 halaman,250 gram,soft cover,HVS 70,11x18 cm, Rp. 32.000,"Karena kenakalannya Luther melukai kakak beradik Anette dan Dani, yang menyebabkan Dani pincang. Akibatnya ia dibenci dan dijauhi oleh semua orang. Luther sangat menyesal. Ia berusaha memperbaiki hubungan terutama dengan Anette, tapi tidak berhasil karena Anette sudah sangat dendam dan sangat membencinya.
Luther akhirnya memutuskan pergi ke hutan untuk menyendiri. Di situ ia bertemu dengan seorang tua yang mengajarnya tentang pengampunan. Kembali semangat Luther hidup. Ia berusaha keras mencari jalan untuk mendapatkan pengampunan.
Dan jalan itu terbuka. Ia harus membuktikan bahwa ia telah berubah. Dan bahwa ia kini benar-benar mengasihi Anette dan teristimewa Dani. Tapi untuk itu Luther harus berani menempuh badai salju yang sangat berbahaya. Luther tidak takut… ia maju.
Sewaktu membaca cerita ini, kita seolah-olah terlibat bersama Luther melewati rintangan demi rintangan dan kemudian… terharu.",http://www.penerbitbinakasih.com/203-buku-berani-menembus-badai-.html,http://www.penerbitbinakasih.com/images/products/product_203.jpg
Maafkan Aku,-,978-602-8009-05-8,Yunita D. Harahap & Yasinta Desrilina,80 halaman,60 gram,soft cover,HVS 70,11x18 cm, Rp. 20.000,"Dua gadis cilik, Yasmin dan Dina, buru-buru menyelesaikan tugas dari orang tua mereka su­paya bisa melakukan apa yang mereka inginkan.Yasmin ingin menyelesaikan cerita yang ditulisnya untuk lomba. Dina ingin pergi berenang ke sungai bersama teman-temannya. Akibatnya, sesuatu yang buruk terjadi. Tugas dari orang tua mereka berantakan. Orang tua mereka marah dan kecewa. Kedua gadis cilik itu harus menanggung akibatnya. Bagaimanakah mereka harus menebus kesalahan mereka? Cerita ini mengungkapkan kegigihan kedua gadis cilik itu untuk mengembalikan kebaha­giaan orang tua mereka.",http://www.penerbitbinakasih.com/205-buku-maafkan-aku-.html,http://www.penerbitbinakasih.com/images/products/product_205.jpg
Petualangan di Pulau Penguin,-,979-9143-36-5,Anne Willet,200 halaman,150 gram,soft cover,HVS 70,11x18 cm, Rp. 22.000,"Kakak beradik, Paul dan Lis, berlibur di Pulau Penguin. Tak disangka-sangka, mereka berhadapan dengan komplotan pencuri. Ganas dan sadis.
Liburan mereka berubah menjadi petualangan. Seru dan tegang.
Paul dan Lis benar-benar dalam bahaya, biarpun salah seorang komplotan pencuri itu adalah bapak dari Sam—sahabat Paul.
Membaca petualangan mereka, kita pasti tergugah. Mengerti jelas makna persahabatan. Terlebih lagi makna kematian orang yang sangat kita kasihi.",http://www.penerbitbinakasih.com/206-buku-petualangan-di-pulau-penguin-.html,http://www.penerbitbinakasih.com/images/products/product_206.jpg
Kenapa Harus Dia?,Novel pra remaja,978-602-8009-56-0,Sylvia Tanuadji,224 halaman,250 gram,Soft Cover,HVS 70,"11,5 x16 cm", Rp. 40.000,"Dina, si cantik yang perfeksionis dan ambisius, memimpikan peran utama sebagai Putri Odette dalam suatu pergelaran balet.
Greta, sahabatnya yang selalu ceria dan apa adanya, ternyata memimpikan hal yang sama.

Adrian, teman sekelas mereka di kelas delapan-satu yang jago ngedance, menjadi bagian dalam mimpi Dina.
Tetapi… kelihatannya Adrian lebih akrab dengan sahabatnya....

Tiba-tiba benih persaingan mulai menyeruak di tengah persahabatan mereka. Suasana pun mulai memanas. Hasil audisi segera diumumkan. Peran utama sebagai Putri Odette telah diputuskan.

Kenapa harus dia?
Lalu bagaimana nasib persahabatan mereka?
Temukan jawabannya dalam novel remaja ini—dilengkapi dengan ilustrasi menawan.",http://www.penerbitbinakasih.com/215-buku-kenapa-harus-dia%3F.html,http://www.penerbitbinakasih.com/images/products/product_215.jpg
Mengapa Ada Salib?,Why is There a Cross?,978-602-8009-92-8,Kathleen Long Bostrom & Elena Kucharik,40 halaman,60 gram,Sampul khusus,HVS 100 gr,15 x 17 cm, Rp. 28.000,"Mengapa Ada Salib? Why Is There a Cross?
Dengan bahasa puitis dan gambar penuh warna yang menawan, buku ini mengantar anak kepada pembahasan tentang salib dan maknanya bagi si kecil.",http://www.penerbitbinakasih.com/251-buku-mengapa-ada-salib%3F-.html,http://www.penerbitbinakasih.com/images/products/product_251.jpg
Apa Itu Alkitab?,,978-602-8009-90-4,Kathleen Long Bostrom & Elena Kucharik,48 halaman,80 gram,Sampul khusus,HVS 100,15 x 17 cm, Rp. 28.000,"Apa Itu Alkitab? What Is The Bible?
Pertanyaan-pertanyaan tentang Alkitab dibahas dalam bahasa yang puitis dan gambar penuh warna yang menawan hati si kecil. Orang Tua dan Guru Sekolah Minggu dapat memanfaatkannya untuk mendekatkan Alkitab dengan anak-anak.",http://www.penerbitbinakasih.com/252-buku-apa-itu-alkitab%3F.html,http://www.penerbitbinakasih.com/images/products/product_252.jpg
"Terima Kasih, Allah!",,978-602-8009-91-1,Kathleen Long Bostrom & Elena Kucharik,20 halaman,50 gram,Sampul khusus,HVS 100 gr,15 x 17 cm, Rp. 20.000,"Terima Kasih, Allah! Thank You, God!
Orang tua dan Guru dapat memanfaatkan buku ini untuk mulai mengajarkan sikap bersyukur atas ciptaan Tuhan, baik di kelas maupun saat sebelum tidur. Disajikan dalam bahasa puitis dengan gambar penuh warna yang khas anak-anak.",http://www.penerbitbinakasih.com/253-buku-terima-kasih%2C-allah%21.html,http://www.penerbitbinakasih.com/images/products/product_253.jpg
Apakah Malaikat Itu Nyata?,Are Angels Real?,978-602-1006-07-8,Kathleen Long Bostrom & Elena Kutcharik,44 halaman,80 gram,Sampul khusus,HVS 100,15 x 17 cm, Rp. 28.000,"Apakah Malaikat itu Nyata? Are Angels Real?

Anak-anak sering menanyakan hal-hal yang tidak terduga, termasuk tentang malaikat. Memang Alkitab menyatakan ada malaikat yang ditugaskan untuk menjaga kita. Buku ini menjawab secara sederhana dengan gambar yang menarik, dengan disertai ayat Alkitab yang menjadi acuannya.",http://www.penerbitbinakasih.com/273-buku-apakah-malaikat-itu-nyata%3F.html,http://www.penerbitbinakasih.com/images/products/product_273.jpg
Siapakah yang menciptakan dunia?,Who made the world?,978-602-1006-14-6,Kathleen Long Bostrom,40 halaman,80 gram,Soft cover,HVS 100,15 X 17 cm, Rp. 28.000,Perkenalkan buah hati Anda kepada Allah saat Anda menjelajahi dunianya bersama-sama!,http://www.penerbitbinakasih.com/276-buku-siapakah-yang-menciptakan-dunia%3F.html,http://www.penerbitbinakasih.com/images/products/product_276.jpg
Seperti Apakah Surga?,What about Heaven?,978-602-1006-08-5,Kathleen Long Bostrom & Elena Kutcharik,44 halaman,80 gram,Sampul khusus,HVS 100,15 x 17 cm, Rp. 28.000,"Seperti Apakah Surga? What about Heaven?
Surga menjadi hal yang sering ditanyakan oleh anak-anak. Apakah para orangtua dapat menjawabnya? Buku ini menolong orangtua, dengan acuan ayat Alkitab dan gambar yang menarik, agar dapat memperkenalkan kepada anak, seperti apakah surga.",http://www.penerbitbinakasih.com/274-buku-seperti-apakah-surga%3F.html,http://www.penerbitbinakasih.com/images/products/product_274.jpg
Siapakah Yesus?,,978-602-1006-15-3,Kathleen Long Bostrom,48 halaman,100 gram,Soft cover,HVS 100,15 X 17 cm, Rp. 30.000,Pertanyaan terpenting yang akan Anda jawab adalah saat anak Anda bertanya tentang Yesus.,http://www.penerbitbinakasih.com/277-buku-siapakah-yesus%3F.html,http://www.penerbitbinakasih.com/images/products/product_277.jpg
Seperti apakah Allah?,What is God like?,978-602-1006-16-0,Kathleen Long Bostrom,40 halaman,80 gram,Soft cover,HVS 100,15 X 17 cm, Rp. 28.000,"Mulailah membaca hari ini, dan bukalah mata anak Anda akan keajaiban dan keagungan Allah!",http://www.penerbitbinakasih.com/278-buku-seperti-apakah-allah%3F.html,http://www.penerbitbinakasih.com/images/products/product_278.jpg
Lima Roti dan Dua Ikan,STOCK KOSONG,978-602-8009-93-5,Irna Permanasari & Estu Kuncoro,24 halaman,80 gram,Sampul khusus,HVS 80,"20,5 x 20,5 cm", Rp. 0,"Buku puisi alkitabiah bilingual untuk anak kelas 3-5 SD, namun bisa juga dibacakan orang tua kepada anak-anak yang lebih kecil dan dipakai guru sebagai alat peraga dalam mengajar.
""Buku ini menyampaikan kisah Yesus dalam gambar dan puisi yang mudah dipahami anak-anak. Berkat buku ini, anak-anak akan dibawa untuk semakin dekat dengan Yesus dan mencintai-Nya."" Pastor GP Sindhunata SJ
""Buku ini akan mengajak anak-anak mengalami sendiri kasih dan kuasa Yesus, sehingga mampu bercerita kepada teman sebaya dalam bahasa mereka sendiri."" Pdt. Yoel M. Indrasmoro",http://www.penerbitbinakasih.com/259-buku-lima-roti-dan-dua-ikan.html,http://www.penerbitbinakasih.com/images/products/product_259.jpg
Air Menjadi Anggur,Water Turned into Wine,978-602-8009-95-9,Irna Permanasari & Estu Kuncoro,24 halaman,60 gram,Sampul khusus,HVS 80,"20,5 x 20,5 cm", Rp. 30.000,"Buku puisi alkitabiah bilingual untuk anak kelas 3-5 SD, namun bisa juga dibacakan orang tua kepada anak-anak yang lebih kecil dan dipakai guru sebagai alat peraga dalam mengajar.


Dian Katoppo S.PAK – radio programmer siaran rohani anak/dewasa & PA:
Anak-anak membutuhkan bacaan berkualitas seperti buku ini. Dengan kalimat sederhana namun apik, gambar menarik, pemilihan ayat dan latar belakang teks yang tepat, buku ini pas dijadikan koleksi anak dan orangtua.
Chris Springer - parent:
Good illustrations, bold and interesting; a good story well told;",http://www.penerbitbinakasih.com/260-buku-air-menjadi-anggur.html,http://www.penerbitbinakasih.com/images/products/product_260.jpg
Orang Sakit Sembuh,STOCK KOSONG,978-602-8009-94-2,Irna Permanasari & Estu Kuncoro,24 halaman,60 gram,Sampul khusus,HVS 80,"20,5 x 20,5 cm", Rp. 30.000,"Buku puisi alkitabiah bilingual untuk anak kelas 3-5 SD, namun bisa juga  dibacakan orang tua kepada anak-anak yang lebih kecil dan dipakai guru untuk mengajar.
Bintang Tobing - Guru TK dan Sekolah Minggu Anak Usia Dini:
Buku yang dikemas dengan bahasa dan gambar yang sesuai dengan perkembangan usia anak. Buku ini juga cocok diberikan kepada anak usia dini sehingga mereka semakin bertumbuh di dalam Tuhan.
Anastasia Springer - parent:
Wonderfully, beautifully translated into very good Bahasa Indonesia poems and rhymes. A good start for parents and teachers to get their children used to read bible with sense and articulation.",http://www.penerbitbinakasih.com/261-buku-orang-sakit-sembuh.html,http://www.penerbitbinakasih.com/images/products/product_261.jpg
Angin Ribut di Danau,STOCK KOSONG,978-602-8009-96-6,Irna Permanasari & Estu Kuncoro,24 halaman,60 gram,Sampul khusus,HVS 80,"20,5 x 20,5 cm", Rp. 0,"Buku puisi alkitabiah bilingual untuk anak kelas 3-5 SD, namun bisa juga  dibacakan orang tua kepada anak-anak yang lebih kecil dan dipakai gurumengajar.


Yeni Krismawati – Pengurus Jaringan Pelayanan Anak
Buku puisi ini khas dan unik. Anak tidak hanya diajak semakin kagum kepada Tuhan Yesus Sang Sumber Mukjizat, tetapi juga menjadi sarana bagi mereka untuk menikmati sekaligus belajar firman Tuhan dalam bentuk karya sastra yang berkualitas.
Meera Joseph - Educator
Classic New Testament story, retold in a powerful combination of poetry and stunning illustrations. What beautiful illustrations! I found myself turning the pages slowly admiring the artwork illuminated by vibrant renditions.",http://www.penerbitbinakasih.com/262-buku-angin-ribut-di-danau.html,http://www.penerbitbinakasih.com/images/products/product_262.jpg
Lazarus Bangkit dari Kematian,Lazarus is Raised from The Dead,978-602-8009-98-0,Irna Permanasari & Estu Kuncoro,24 halaman,60 gram,Sampul khusus,HVS 80,"20,5 x 20,5 cm", Rp. 30.000,"Frieda Mangunsong - Psikolog

""Gambaran keajaiban dan kebangkitan merupakan hal yang tidak mudah dicerna oleh anak-anak. Namun, ilustrasi berwarna cerah dan ekspresi emosi yang cukup jelas dalam buku ini mampu menumbuhkan rasa ingin tahu yang bisa dilanjutkan dengan pemahaman akan kekuatan dan kasih yang dimiliki Tuhan Yesus dalam kehidupan kita.”

 


Laura Lazarus – Penulis
“Buku yang sangat menarik karena dikemas dengan ilustrasi gambar dan juga dibawakan dalam dua bahasa, menjadikan buku ini mudah dimengerti oleh anak-anak. selain mengenal tentang cerita di alkitab, anak-anak juga bisa belajar bahasa.”",http://www.penerbitbinakasih.com/265-buku-lazarus-bangkit-dari-kematian.html,http://www.penerbitbinakasih.com/images/products/product_265.jpg
Seorang Kusta yang Bersyukur,A Man With Leprosy Gives Thanks,978-602-8009-97-3,Irna Permanasari & Estu Kuncoro,24 halaman,60 gram,Sampul khusus,HVS 80,"20,5 x 20,5 cm", Rp. 30.000,"Ester Jusuf - Aktivis Taman Bacaan Masyarakat
Bersyukur atau berterima kasih itu penting untuk DIUNGKAPKAN kepada Tuhan dan sesama.
 
Ms. E.A. Bruning - Teacher
 The colorful illustrations are full of action.",http://www.penerbitbinakasih.com/266-buku-seorang-kusta-yang-bersyukur.html,http://www.penerbitbinakasih.com/images/products/product_266.jpg
Garam dan Terang Dunia,Salt of the Eart and Light of the World,978-602-1006-44-3,Irna Permanasari,24 halaman,80 gram,Soft Cover,HVS 80,"20,5 x 20,5 cm", Rp. 30.000,,http://www.penerbitbinakasih.com/300-buku-garam-dan-terang-dunia.html,http://www.penerbitbinakasih.com/images/products/product_300.jpg
Gembala yang Baik,The Good Shepherd,978-602-1006-43-6,Irna Permanasari,24 halaman,80 gram,Soft Cover,HVS 80,"20,5 x 20,5 cm", Rp. 30.000,"Seri buku puisi alkitabiah bilingual tentang perumpamaan Tuhan Yesus ini cocok untuk:

Program LITERASI MANDIRI bagi anak kelas 3-5 SD berbahasa Indonesia maupun berbahasa Inggris;
DONGENG SEBELUM TIDUR yang dibacakan orangtua kepada anak-anak;
ALAT PERAGA yang mengasyikkan dalam mengajar Sekolah Minggu, kelas agama, maupun kelas sastra anak.",http://www.penerbitbinakasih.com/301-buku-gembala-yang-baik.html,http://www.penerbitbinakasih.com/images/products/product_301.jpg
Kerajaan Allah Seperti Apakah?,"The Kingdom of God, What is it Like?",978-602-1006-45-0,Irna Permanasari,24 halaman,80 gram,Soft Cover,HVS 80,"20,5 x 20,5 cm", Rp. 30.000,,http://www.penerbitbinakasih.com/302-buku-kerajaan-allah-seperti-apakah%3F.html,http://www.penerbitbinakasih.com/images/products/product_302.jpg
Anak yang Hilang,The Lost Son,978-602-8009-38-2,Irna Permanasari & Estu Kuncoro,24 halaman,80 gram,Soft Cover,HVS 80,"20,5 x 20,5 cm", Rp. 30.000,"Seri buku puisi alkitabiah bilingual tentang Perumpamaan Tuhan Yesus ini cocok untuk:
• Program LITERASI MANDIRI bagi anak kelas 3–5 SD berbahasa Indonesia maupun berbahasa Inggris;
• DONGENG SEBELUM TIDUR yang dibacakan orangtua kepada anak-anak;
• ALAT PERAGA yang mengasyikkan dalam mengajar sekolah minggu, kelas agama, maupun kelas sastra anak.",http://www.penerbitbinakasih.com/290-buku-anak-yang-hilang.html,http://www.penerbitbinakasih.com/images/products/product_290.jpg
Di mana benihmu tumbuh?,Where does your Seed Grow?,978-602-1006-39-9,Irna Permanasari & Estu Kuncoro,24 halaman,80 gram,Soft Cover,HVS 80,"20,5 x 20,5 cm", Rp. 30.000,"Seri buku puisi alkitabiah bilingual tentang Perumpamaan Tuhan Yesus ini cocok untuk:
• Program LITERASI MANDIRI bagi anak kelas 3–5 SD berbahasa Indonesia maupun berbahasa Inggris;
• DONGENG SEBELUM TIDUR yang dibacakan orangtua kepada anak-anak;
• ALAT PERAGA yang mengasyikkan dalam mengajar sekolah minggu, kelas agama, maupun kelas sastra anak.",http://www.penerbitbinakasih.com/291-buku-di-mana-benihmu-tumbuh%3F.html,http://www.penerbitbinakasih.com/images/products/product_291.jpg
Gadis bodoh atau bijaksana?,Foolish Girls or Wise Girls?,978-602-1006-40-5,Irna Permanasari & Estu Kuncoro,24 halaman,80 gram,Soft Cover,HVS 80,"20,5 x 20,5 cm", Rp. 30.000,"Seri buku puisi alkitabiah bilingual tentang Perumpamaan Tuhan Yesus ini cocok untuk:
• Program LITERASI MANDIRI bagi anak kelas 3–5 SD berbahasa Indonesia maupun berbahasa Inggris;
• DONGENG SEBELUM TIDUR yang dibacakan orangtua kepada anak-anak;
• ALAT PERAGA yang mengasyikkan dalam mengajar sekolah minggu, kelas agama, maupun kelas sastra anak.",http://www.penerbitbinakasih.com/292-buku-gadis-bodoh-atau-bijaksana%3F.html,http://www.penerbitbinakasih.com/images/products/product_292.jpg
Yesus Lahir!,Kisah Si Rubah,978-602-,Nick Butterworth,24 halaman,70 gram,Soft cover,HVS 100,15 x 17 cm, Rp. 24.000,"Setelah Seri Cerita Tuhan Yesus, Nick Butterworth beraksi kembali dalam seri Cerita Favorit di Alkitab tentang Yesus. Dengan imajinasinya, muncul empat binatang yang berkisah tentang kehidupan Tuhan Yesus yang menakjubkan. Rubah berkisah tentang Yesus Lahir, Kucing berkisah tentang Perkawinan di Kana, Burung Murai berkisah tentang Pertemuan Yesus dengan Zakheus, dan Tikus berkisah tentang Yesus yang tidur di tengah badai. Wow, peristiwa dalam kehidupan Tuhan Yesus yang dikisahkan ulang dalam bahasa yang sederhana, dengan ilustrasi Mick Inkpen yang lucu.",http://www.penerbitbinakasih.com/315-buku-yesus-lahir%21.html,http://www.penerbitbinakasih.com/images/products/product_315.jpg
Yesus di Perkawinan!,Kisah Si Kucing,978-602-,Nick Butterworth,24 halaman,70 gram,Soft cover,HVS 100,15 x 17 cm, Rp. 24.000,"Setelah Seri Cerita Tuhan Yesus, Nick Butterworth beraksi kembali dalam seri Cerita Favorit di Alkitab tentang Yesus. Dengan imajinasinya, muncul empat binatang yang berkisah tentang kehidupan Tuhan Yesus yang menakjubkan. Rubah berkisah tentang Yesus Lahir, Kucing berkisah tentang Perkawinan di Kana, Burung Murai berkisah tentang Pertemuan Yesus dengan Zakheus, dan Tikus berkisah tentang Yesus yang tidur di tengah badai. Wow, peristiwa dalam kehidupan Tuhan Yesus yang dikisahkan ulang dalam bahasa yang sederhana, dengan ilustrasi Mick Inkpen yang lucu.",http://www.penerbitbinakasih.com/316-buku-yesus-di-perkawinan%21.html,http://www.penerbitbinakasih.com/images/products/product_316.jpg
Yesus Jumpai Zakheus!,Kisah Si Burung Murai,978-602-,Nick Butterworth,24 halaman,70 gram,Soft cover,HVS 100,15 x 17 cm, Rp. 24.000,"Setelah Seri Cerita Tuhan Yesus, Nick Butterworth beraksi kembali dalam seri Cerita Favorit di Alkitab tentang Yesus. Dengan imajinasinya, muncul empat binatang yang berkisah tentang kehidupan Tuhan Yesus yang menakjubkan. Rubah berkisah tentang Yesus Lahir, Kucing berkisah tentang Perkawinan di Kana, Burung Murai berkisah tentang Pertemuan Yesus dengan Zakheus, dan Tikus berkisah tentang Yesus yang tidur di tengah badai. Wow, peristiwa dalam kehidupan Tuhan Yesus yang dikisahkan ulang dalam bahasa yang sederhana, dengan ilustrasi Mick Inkpen yang lucu.",http://www.penerbitbinakasih.com/317-buku-yesus-jumpai-zakheus%21.html,http://www.penerbitbinakasih.com/images/products/product_317.jpg
Yesus Hentikan Badai!,Kisah Si Tikus,978-602-,Nick Butterworth,24 halaman,70 gram,Soft cover,HVS 100,15 x 17 cm, Rp. 24.000,"Setelah Seri Cerita Tuhan Yesus, Nick Butterworth beraksi kembali dalam seri Cerita Favorit di Alkitab tentang Yesus. Dengan imajinasinya, muncul empat binatang yang berkisah tentang kehidupan Tuhan Yesus yang menakjubkan. Rubah berkisah tentang Yesus Lahir, Kucing berkisah tentang Perkawinan di Kana, Burung Murai berkisah tentang Pertemuan Yesus dengan Zakheus, dan Tikus berkisah tentang Yesus yang tidur di tengah badai. Wow, peristiwa dalam kehidupan Tuhan Yesus yang dikisahkan ulang dalam bahasa yang sederhana, dengan ilustrasi Mick Inkpen yang lucu.",http://www.penerbitbinakasih.com/318-buku-yesus-hentikan-badai%21.html,http://www.penerbitbinakasih.com/images/products/product_318.jpg
Ensiklopedi Alkitab Masa Kini (jilid 2) edisi lux,M-Z,979-8976-62-2,"Tim IVP (J.D. Douglas, dkk)",698 halaman,1370 gram,hard cover,art paper/HVS 70,"17,5x24 cm", Rp. 190.000,"ENSIKLOPEDI ALKITAB MASA KINI berguna sebagai tambang emas informasi alkitabiah, justru sangat membantu sebagai sumber dasar dalam studi teologia. Kandungan informasinya lengkap tapi singkat dan bermanfaat bagi pelayanan praktis gerejawi.

Prof. Dr. SULARSO SOPATER
Mantan Ketua PGI


Kami menyambut baik prakarsa penerbitan ENSIKLOPEDI ALKITAB MASA KINI yang nyata-nyata sangat membantu banyak pihak, yang berkecimpung dalam bidang studi dan penelaahan Kitab Suci. Bahkan kaum awam biasa sangat bersyukur atas bantuan pemahaman yang diberikan oleh para pakar dalam bidang Kitab Suci, yang mengusahakan ENSIKLOPEDI ALKITAB MASA KINI ini.

MGR. V. KARTOSISWOYO Pr
Sekretaris Eksekutif KWI",http://www.penerbitbinakasih.com/147-buku-ensiklopedi-alkitab-masa-kini-%28jilid-2%29-edisi-lux.html,http://www.penerbitbinakasih.com/images/products/product_147.jpg
Ensiklopedi Alkitab Masa Kini (jilid 2) edisi biasa,STOCK KOSONG,979-8976-62-2,"Tim IVP (J.D. Douglas, dkk)",698 halaman,1220 gram,soft cover,art paper/HVS 70,"17,5x24 cm", Rp. 165.000,"ENSIKLOPEDI ALKITAB MASA KINI berguna sebagai tambang emas informasi  alkitabiah, justru sangat membantu sebagai sumber dasar dalam studi  teologia. Kandungan informasinya lengkap tapi singkat dan bermanfaat  bagi pelayanan praktis gerejawi.

Prof. Dr. SULARSO SOPATER
Mantan Ketua PGI


Kami  menyambut baik prakarsa penerbitan ENSIKLOPEDI ALKITAB MASA KINI yang  nyata-nyata sangat membantu banyak pihak, yang berkecimpung dalam bidang  studi dan penelaahan Kitab Suci. Bahkan kaum awam biasa sangat  bersyukur atas bantuan pemahaman yang diberikan oleh para pakar dalam  bidang Kitab Suci, yang mengusahakan ENSIKLOPEDI ALKITAB MASA KINI ini.

MGR. V. KARTOSISWOYO Pr
Sekretaris Eksekutif KWI",http://www.penerbitbinakasih.com/148-buku-ensiklopedi-alkitab-masa-kini-%28jilid-2%29-edisi-biasa.html,http://www.penerbitbinakasih.com/images/products/product_148.jpg
Ensiklopedi Alkitab Masa Kini (jilid 1) edisi lux,STOCK KOSONG,979-8976-58-4,"Tim IVP (J.D. Douglas, dkk)",692 halaman,1360 gram,hard cover,art paper/HVS 70,"17,5x24 cm", Rp. 180.000,"ENSIKLOPEDI ALKITAB MASA KINI berguna sebagai tambang emas informasi alkitabiah, justru sangat membantu sebagai sumber dasar dalam studi teologia. Kandungan informasinya lengkap tapi singkat dan bermanfaat bagi pelayanan praktis gerejawi.

Prof. Dr. SULARSO SOPATER
Mantan Ketua PGI
 

Kami menyambut baik prakarsa penerbitan ENSIKLOPEDI ALKITAB MASA KINI yang nyata-nyata sangat membantu banyak pihak, yang berkecimpung dalam bidang studi dan penelaahan Kitab Suci. Bahkan kaum awam biasa sangat bersyukur atas bantuan pemahaman yang diberikan oleh para pakar dalam bidang Kitab Suci, yang mengusahakan ENSIKLOPEDI ALKITAB MASA KINI ini.

MGR. V. KARTOSISWOYO Pr
Sekretaris Eksekutif KWI",http://www.penerbitbinakasih.com/149-buku-ensiklopedi-alkitab-masa-kini-%28jilid-1%29-edisi-lux.html,http://www.penerbitbinakasih.com/images/products/product_149.jpg
Ensiklopedi Alkitab Masa Kini (jilid 1) edisi biasa,A-L,979-8976-58-4,"Tim IVP (J.D. Douglas, dkk)",692 halaman,1210 gram,soft cover,art paper/HVS 70,"17,5x24 cm", Rp. 165.000,"ENSIKLOPEDI ALKITAB MASA KINI berguna sebagai tambang emas informasi alkitabiah, justru sangat membantu sebagai sumber dasar dalam studi teologia. Kandungan informasinya lengkap tapi singkat dan bermanfaat bagi pelayanan praktis gerejawi.

Prof. Dr. SULARSO SOPATER
Mantan Ketua PGI


Kami menyambut baik prakarsa penerbitan ENSIKLOPEDI ALKITAB MASA KINI yang nyata-nyata sangat membantu banyak pihak, yang berkecimpung dalam bidang studi dan penelaahan Kitab Suci. Bahkan kaum awam biasa sangat bersyukur atas bantuan pemahaman yang diberikan oleh para pakar dalam bidang Kitab Suci, yang mengusahakan ENSIKLOPEDI ALKITAB MASA KINI ini.

MGR. V. KARTOSISWOYO Pr
Sekretaris Eksekutif KWI",http://www.penerbitbinakasih.com/150-buku-ensiklopedi-alkitab-masa-kini-%28jilid-1%29-edisi-biasa.html,http://www.penerbitbinakasih.com/images/products/product_150.jpg
Ensiklopedi Alkitab Tematik,STOCK KOSONG,978-602-1006-41-2,Mike Beaumont,228 halaman,1100 gram,Hard Cover,Matt paper,"21,5 x 26 cm", Rp. 185.000,"Suatu referensi praktis bagi para pengkhotbah dan pemimpin PA yang disusun berdasarkan tema. Ada 7 tema:
● Pembuatan Alkitab
● Kisah Alkitab
● Negeri di Alkitab
● Bangsa-bangsa dalam Alkitab
● Kehidupan dalam Alkitab (keluarga dan masyarakat)
● Keagamaan dalam Alkitab
● Fokus Alkitab: Yesus
Data penting yang dilengkapi dengan gambar, foto, grafik, tabel, peta, catatan asal-usul, kronologi peristiwa,
ayat-ayat Alkitab, juga tautan informasi antarhalaman. Setiap topik singkat dan padat (dua halaman) dan penulis menyediakan catatan refleksi untuk memicu pertumbuhan iman pembaca.",http://www.penerbitbinakasih.com/296-buku-ensiklopedi-alkitab-tematik.html,http://www.penerbitbinakasih.com/images/products/product_296.jpg
2 Timotius,Kemurnian Ajaran dan Kehidupan Adalah Syarat Inti Menjadi Bentara Kristus,979-8976-81-9,John R.W. Stott,160 halaman,200 gram,soft cover,HVS 70,"14,5x21  cm", Rp. 30.000,"Timotius dipanggil supaya khas berbeda dari masyarakatnya. Dan ia tidak boleh menyerah pada pendapat umum. Juga tidak boleh menyesuaikan diri pada roh zamannya itu. Ia harus berdiri teguh dalam ajaran dan kebenaran Tuhan.
Panggilan itu menuntut keberanian, kesetiaan, dan keteguhan. Dan itu haruslah yang benar-benar luar biasa.
Tapi panggilan yang sama dengan tuntutan yang sama, juga ditujukan kepada kita sekarang ini. Justru adalah bijaksana bila kita menyimak pada apa yang dipaparkan dalam buku ini.",http://www.penerbitbinakasih.com/131-buku-2-timotius.html,http://www.penerbitbinakasih.com/images/products/product_131.jpg
